,,Tier,Name,Level,Effect,Existingeffect,Neweffect,CostRaw,Costcustomizable,,Tier_4
,,2,Internal Hatcheries,6,Internal Hatchery Rate,10,12,4.027M,3.825M,,
,,2,Internal Hatcheries,7,Internal Hatchery Rate,12,14,11.139M,10.582M,,
,,2,Internal Hatcheries,8,Internal Hatchery Rate,14,16,30.483M,28.959M,,
,,2,Internal Hatcheries,9,Internal Hatchery Rate,16,18,83.121M,78.965M,,
,,2,Internal Hatcheries,10,Internal Hatchery Rate,18,20,223.967M,212.769M,,
,,2,Padded Packaging,1,Value Increase,0%,25%,1.575M,1.496M,,
,,2,Padded Packaging,2,Value Increase,25%,50%,2.089M,1.985M,,
,,2,Padded Packaging,3,Value Increase,50%,75%,2.759M,2.621M,,
,,2,Padded Packaging,4,Value Increase,75%,100%,3.630M,3.449M,,
,,2,Padded Packaging,5,Value Increase,100%,125%,4.796M,4.556M,,
,,2,Padded Packaging,6,Value Increase,125%,150%,6.322M,6.006M,,
,,2,Padded Packaging,7,Value Increase,150%,175%,8.303M,7.888M,,
,,2,Padded Packaging,8,Value Increase,175%,200%,10.928M,10.382M,,
,,2,Padded Packaging,9,Value Increase,200%,225%,14.386M,13.666M,,
,,2,Padded Packaging,10,Value Increase,225%,250%,18.867M,17.924M,,
,,2,Padded Packaging,11,Value Increase,250%,275%,24.749M,23.512M,,
,,2,Padded Packaging,12,Value Increase,275%,300%,32.545M,30.918M,,
,,2,Padded Packaging,13,Value Increase,300%,325%,42.638M,40.506M,,
,,2,Padded Packaging,14,Value Increase,325%,350%,55.755M,52.967M,,
,,2,Padded Packaging,15,Value Increase,350%,375%,73.260M,69.597M,,
,,2,Padded Packaging,16,Value Increase,375%,400%,95.901M,91.106M,,
,,2,Padded Packaging,17,Value Increase,400%,425%,125.157M,118.899M,,
,,2,Padded Packaging,18,Value Increase,425%,450%,164.188M,155.979M,,
,,2,Padded Packaging,19,Value Increase,450%,475%,214.799M,204.059M,,
,,2,Padded Packaging,20,Value Increase,475%,500%,280.122M,266.116M,,
,,2,Padded Packaging,21,Value Increase,500%,525%,366.546M,348.219M,,
,,2,Padded Packaging,22,Value Increase,525%,550%,479.322M,455.356M,,
,,2,Padded Packaging,23,Value Increase,550%,575%,624.750M,593.513M,,
,,2,Padded Packaging,24,Value Increase,575%,600%,815.471M,774.698M,,
,,2,Padded Packaging,25,Value Increase,600%,625%,1.066B,1.013B,,
,,2,Padded Packaging,26,Value Increase,625%,650%,1.389B,1.320B,,
,,2,Padded Packaging,27,Value Increase,650%,675%,1.809B,1.719B,,
,,2,Padded Packaging,28,Value Increase,675%,700%,2.364B,2.246B,,
,,2,Padded Packaging,29,Value Increase,700%,725%,3.079B,2.925B,,
,,2,Padded Packaging,30,Value Increase,725%,750%,4.000B,3.800B,,
,,2,Hatchery Expansion,1,Hatchery Capacity Increase,0,10,977.63,928.750,,
,,2,Hatchery Expansion,2,Hatchery Capacity Increase,10,20,7.224K,6862.5,,
,,2,Hatchery Expansion,3,Hatchery Capacity Increase,20,30,26.934K,25587.500,,
,,2,Hatchery Expansion,4,Hatchery Capacity Increase,30,40,87.092K,82737.5,,
,,2,Hatchery Expansion,5,Hatchery Capacity Increase,40,50,268.845K,255402.500,,
,,2,Hatchery Expansion,6,Hatchery Capacity Increase,50,60,803.533K,763356.25,,
,,2,Hatchery Expansion,7,Hatchery Capacity Increase,60,70,2.352M,2.234M,,
,,2,Hatchery Expansion,8,Hatchery Capacity Increase,70,80,6.843M,6.501M,,
,,2,Hatchery Expansion,9,Hatchery Capacity Increase,80,90,19.631M,18.649M,,
,,2,Hatchery Expansion,10,Hatchery Capacity Increase,90,100,55.691M,52.906M,,
,,2,Bigger Eggs,1,Value Multiplier,1,2,5.805M,5.514M,,
,,3,Internal Hatchery Upgrades,1,Internal Hatchery Rate,0,5,25.751M,24.464M,,TOP
,,3,Internal Hatchery Upgrades,2,Internal Hatchery Rate,5,10,112.452M,106.829M,,
,,3,Internal Hatchery Upgrades,3,Internal Hatchery Rate,10,15,429.717M,408.231M,,
,,3,Internal Hatchery Upgrades,4,Internal Hatchery Rate,15,20,1.633B,1.551B,,
,,3,Internal Hatchery Upgrades,5,Internal Hatchery Rate,20,25,6.138B,5.831B,,
,,3,Internal Hatchery Upgrades,6,Internal Hatchery Rate,25,30,22.932B,21.785B,,
,,3,Internal Hatchery Upgrades,7,Internal Hatchery Rate,30,35,85.292B,81.028B,,
,,3,Internal Hatchery Upgrades,8,Internal Hatchery Rate,35,40,314.675B,298.941B,,
,,3,Internal Hatchery Upgrades,9,Internal Hatchery Rate,40,45,1.161T,1.103T,,
,,3,Internal Hatchery Upgrades,10,Internal Hatchery Rate,45,50,4.242T,4.030T,,
,,3,Vehicle Reliability,1,Fleet Increase,4,5,303.689M,288.505M,,
,,3,Vehicle Reliability,2,Fleet Increase,5,6,1.996T,1.896T,,
,,3,Improved Leafsprings,1,Vehicle Capacity,0%,5%,5.782M,5.493M,,
,,3,Improved Leafsprings,2,Vehicle Capacity,5%,10%,8.359M,7.941M,,
,,3,Improved Leafsprings,3,Vehicle Capacity,10%,15%,12.069M,11.466M,,
,,3,Improved Leafsprings,4,Vehicle Capacity,15%,20%,17.407M,16.537M,,
,,3,Improved Leafsprings,5,Vehicle Capacity,20%,25%,25.079M,23.825M,,
,,3,Improved Leafsprings,6,Vehicle Capacity,25%,30%,36.094M,34.289M,,
,,3,Improved Leafsprings,7,Vehicle Capacity,30%,35%,51.898M,49.303M,,
,,3,Improved Leafsprings,8,Vehicle Capacity,35%,40%,74.552M,70.825M,,
,,3,Improved Leafsprings,9,Vehicle Capacity,40%,45%,107.004M,101.653M,,
,,3,Improved Leafsprings,10,Vehicle Capacity,45%,50%,153.454M,145.781M,,
,,3,Improved Leafsprings,11,Vehicle Capacity,50%,55%,219.899M,208.904M,,
,,3,Improved Leafsprings,12,Vehicle Capacity,55%,60%,314.880M,299.136M,,
,,3,Improved Leafsprings,13,Vehicle Capacity,60%,65%,450.574M,428.045M,,
,,3,Improved Leafsprings,14,Vehicle Capacity,65%,70%,644.318M,612.103M,,
,,3,Improved Leafsprings,15,Vehicle Capacity,70%,75%,920.799M,874.759M,,
,,3,Improved Leafsprings,16,Vehicle Capacity,75%,80%,1.317B,1.251B,,
,,3,Improved Leafsprings,17,Vehicle Capacity,80%,85%,1.883B,1.789B,,
,,3,Improved Leafsprings,18,Vehicle Capacity,85%,90%,2.691B,2.556B,,
,,3,Improved Leafsprings,19,Vehicle Capacity,90%,95%,3.843B,3.651B,,
,,3,Improved Leafsprings,20,Vehicle Capacity,95%,100%,5.487B,5.213B,,
,,3,Improved Leafsprings,21,Vehicle Capacity,100%,105%,7.829B,7.438B,,
,,3,Improved Leafsprings,22,Vehicle Capacity,105%,110%,11.163B,10.605B,,
,,3,Improved Leafsprings,23,Vehicle Capacity,110%,115%,15.911B,15.115B,,
,,3,Improved Leafsprings,24,Vehicle Capacity,115%,120%,22.663B,21.530B,,
,,3,Improved Leafsprings,25,Vehicle Capacity,120%,125%,32.268B,30.655B,,
,,3,Improved Leafsprings,26,Vehicle Capacity,125%,130%,45.921B,43.625B,,
,,3,Improved Leafsprings,27,Vehicle Capacity,130%,135%,65.322B,62.056B,,
,,3,Improved Leafsprings,28,Vehicle Capacity,135%,140%,92.882B,88.238B,,
,,3,Improved Leafsprings,29,Vehicle Capacity,140%,145%,132.013B,125.413B,,
,,3,Improved Leafsprings,30,Vehicle Capacity,145%,150%,187.562B,178.184B,,
,,3,Rooster Booster,1,Hatchery Refill Rate,0%,5%,7.227M,6.866M,,
,,3,Rooster Booster,2,Hatchery Refill Rate,5%,10%,12.895M,12.250M,,
,,3,Rooster Booster,3,Hatchery Refill Rate,10%,15%,22.807M,21.666M,,
,,3,Rooster Booster,4,Hatchery Refill Rate,15%,20%,40.438M,38.417M,,
,,3,Rooster Booster,5,Hatchery Refill Rate,20%,25%,71.316M,67.750M,,
,,3,Rooster Booster,6,Hatchery Refill Rate,25%,30%,125.777M,119.488M,,
,,3,Rooster Booster,7,Hatchery Refill Rate,30%,35%,221.308M,210.243M,,
,,3,Rooster Booster,8,Hatchery Refill Rate,35%,40%,388.505M,369.080M,,
,,3,Rooster Booster,9,Hatchery Refill Rate,40%,45%,682.321M,648.205M,,
,,3,Rooster Booster,10,Hatchery Refill Rate,45%,50%,1.193B,1.133B,,
,,3,Rooster Booster,11,Hatchery Refill Rate,50%,55%,2.092B,1.988B,,
,,3,Rooster Booster,12,Hatchery Refill Rate,55%,60%,3.645B,3.463B,,
,,3,Rooster Booster,13,Hatchery Refill Rate,60%,65%,6.383B,6.064B,,
,,3,Rooster Booster,14,Hatchery Refill Rate,65%,70%,11.097B,10.543B,,
,,3,Rooster Booster,15,Hatchery Refill Rate,70%,75%,19.391B,18.421B,,
,,3,Rooster Booster,16,Hatchery Refill Rate,75%,80%,33.695B,32.010B,,
,,3,Rooster Booster,17,Hatchery Refill Rate,80%,85%,58.688B,55.754B,,
,,3,Rooster Booster,18,Hatchery Refill Rate,85%,90%,101.936B,96.839B,,
,,3,Rooster Booster,19,Hatchery Refill Rate,90%,95%,177.022B,168.171B,,
,,3,Rooster Booster,20,Hatchery Refill Rate,95%,100%,307.376B,292.008B,,
,,3,Rooster Booster,21,Hatchery Refill Rate,100%,105%,532.345B,505.728B,,
,,3,Rooster Booster,22,Hatchery Refill Rate,105%,110%,924.124B,877.918B,,
,,3,Rooster Booster,23,Hatchery Refill Rate,110%,115%,1.596T,1.516T,,
,,3,Rooster Booster,24,Hatchery Refill Rate,115%,120%,2.771T,2.633T,,
,,3,Rooster Booster,25,Hatchery Refill Rate,120%,125%,4.425T,4.204T,,
,,3,Coordinated Clucking,1,Running Chicken,205,205.2,1.969M,1.870M,,
,,3,Coordinated Clucking,2,Running Chicken,205.2,205.4,2.637M,2.505M,,
,,3,Coordinated Clucking,3,Running Chicken,205.4,205.6,3.518M,3.342M,,
,,3,Coordinated Clucking,4,Running Chicken,205.6,205.8,4.678M,4.444M,,
,,3,Coordinated Clucking,5,Running Chicken,205.8,206,6.230M,5.918M,,
,,3,Coordinated Clucking,6,Running Chicken,206,206.2,8.301M,7.886M,,
,,3,Coordinated Clucking,7,Running Chicken,206.2,206.4,11.021M,10.470M,,
,,3,Coordinated Clucking,8,Running Chicken,206.4,206.6,14.593M,13.863M,,
,,3,Coordinated Clucking,9,Running Chicken,206.6,206.8,19.430M,18.458M,,
,,3,Coordinated Clucking,10,Running Chicken,206.8,207,25.777M,24.488M,,
,,3,Coordinated Clucking,11,Running Chicken,207,207.2,34.094M,32.390M,,
,,3,Coordinated Clucking,12,Running Chicken,207.2,207.4,45.175M,42.916M,,
,,3,Coordinated Clucking,13,Running Chicken,207.4,207.6,59.910M,56.914M,,
,,3,Coordinated Clucking,14,Running Chicken,207.6,207.8,79.195M,75.236M,,
,,3,Coordinated Clucking,15,Running Chicken,207.8,208,104.421M,99.199M,,
,,3,Coordinated Clucking,16,Running Chicken,208,208.2,138.468M,131.545M,,
,,3,Coordinated Clucking,17,Running Chicken,208.2,208.4,183.007M,173.856M,,
,,3,Coordinated Clucking,18,Running Chicken,208.4,208.6,241.186M,229.126M,,
,,3,Coordinated Clucking,19,Running Chicken,208.6,208.8,318.459M,302.536M,,
,,3,Coordinated Clucking,20,Running Chicken,208.8,209,420.925M,399.879M,,
,,3,Coordinated Clucking,21,Running Chicken,209,209.2,554.674M,526.940M,,
,,3,Coordinated Clucking,22,Running Chicken,209.2,209.4,729.147M,692.690M,,
,,3,Coordinated Clucking,23,Running Chicken,209.4,209.6,964.045M,915.843M,,
,,3,Coordinated Clucking,24,Running Chicken,209.6,209.8,1.271B,1.207B,,
,,3,Coordinated Clucking,25,Running Chicken,209.8,210,1.670B,1.586B,,
,,3,Coordinated Clucking,26,Running Chicken,210,210.2,2.200B,2.090B,,
,,3,Coordinated Clucking,27,Running Chicken,210.2,210.4,2.900B,2.755B,,
,,3,Coordinated Clucking,28,Running Chicken,210.4,210.6,3.812B,3.621B,,
,,3,Coordinated Clucking,29,Running Chicken,210.6,210.8,5.000B,4.750B,,
,,3,Coordinated Clucking,30,Running Chicken,210.8,211,6.596B,6.266B,,
,,3,Coordinated Clucking,31,Running Chicken,211,211.2,8.674B,8.240B,,
,,3,Coordinated Clucking,32,Running Chicken,211.2,211.4,11.378B,10.809B,,
,,3,Coordinated Clucking,33,Running Chicken,211.4,211.6,14.954B,14.206B,,
,,3,Coordinated Clucking,34,Running Chicken,211.6,211.8,19.678B,18.694B,,
,,3,Coordinated Clucking,35,Running Chicken,211.8,212,25.820B,24.529B,,
,,3,Coordinated Clucking,36,Running Chicken,212,212.2,33.803B,32.113B,,
,,3,Coordinated Clucking,37,Running Chicken,212.2,212.4,44.512B,42.286B,,
,,3,Coordinated Clucking,38,Running Chicken,212.4,212.6,58.439B,55.518B,,
,,3,Coordinated Clucking,39,Running Chicken,212.6,212.8,76.529B,72.703B,,
,,3,Coordinated Clucking,40,Running Chicken,212.8,213,100.421B,95.400B,,
,,3,Coordinated Clucking,41,Running Chicken,213,213.2,131.936B,125.339B,,
,,3,Coordinated Clucking,42,Running Chicken,213.2,213.4,172.862B,164.219B,,
,,3,Coordinated Clucking,43,Running Chicken,213.4,213.6,225.980B,214.681B,,
,,3,Coordinated Clucking,44,Running Chicken,213.6,213.8,297.145B,282.288B,,
,,3,Coordinated Clucking,45,Running Chicken,213.8,214,389.578B,370.099B,,
,,3,Coordinated Clucking,46,Running Chicken,214,214.2,509.489B,484.015B,,
,,3,Coordinated Clucking,47,Running Chicken,214.2,214.4,667.674B,634.290B,,
,,3,Coordinated Clucking,48,Running Chicken,214.4,214.6,876.079B,832.275B,,
,,3,Coordinated Clucking,49,Running Chicken,214.6,214.8,1.146T,1.089T,,
,,3,Coordinated Clucking,50,Running Chicken,214.8,215,1.497T,1.423T,,
,,4,Hatchery Rebuild,1,Hatchery Capacity Increase,0,50,52.538B,49.911B,,TOP
,,4,USDE Prime Certification,1,Value Multiplier,1,3,4.218T,4.008T,,
,,4,Hen House A/C,1,Laying Increase,0%,5%,3.481M,3.307M,,
,,4,Hen House A/C,2,Laying Increase,5%,10%,4.437M,4.216M,,
,,4,Hen House A/C,3,Laying Increase,10%,15%,5.627M,5.346M,,
,,4,Hen House A/C,4,Laying Increase,15%,20%,7.141M,6.784M,,
,,4,Hen House A/C,5,Laying Increase,20%,25%,9.074M,8.620M,,
,,4,Hen House A/C,6,Laying Increase,25%,30%,11.476M,10.903M,,
,,4,Hen House A/C,7,Laying Increase,30%,35%,14.593M,13.863M,,
,,4,Hen House A/C,8,Laying Increase,35%,40%,18.489M,17.565M,,
,,4,Hen House A/C,9,Laying Increase,40%,45%,23.399M,22.230M,,
,,4,Hen House A/C,10,Laying Increase,45%,50%,29.715M,28.230M,,
,,4,Hen House A/C,11,Laying Increase,50%,55%,37.552M,35.675M,,
,,4,Hen House A/C,12,Laying Increase,55%,60%,47.633M,45.252M,,
,,4,Hen House A/C,13,Laying Increase,60%,65%,60.318M,57.302M,,
,,4,Hen House A/C,14,Laying Increase,65%,70%,76.147M,72.339M,,
,,4,Hen House A/C,15,Laying Increase,70%,75%,96.659M,91.826M,,
,,4,Hen House A/C,16,Laying Increase,75%,80%,122.085M,115.981M,,
,,4,Hen House A/C,17,Laying Increase,80%,85%,154.507M,146.781M,,
,,4,Hen House A/C,18,Laying Increase,85%,90%,195.579M,185.800M,,
,,4,Hen House A/C,19,Laying Increase,90%,95%,246.476M,234.153M,,
,,4,Hen House A/C,20,Laying Increase,95%,100%,312.611M,296.980M,,
,,4,Hen House A/C,21,Laying Increase,100%,105%,394.704M,374.969M,,
